Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,69.22800,25.47900,43.74900,58.76700,68.55200,,127.31900,-83.57000,14.41800,-69.15200,-69.15200,-69.15200,-69.15200,-82.48300,-83.57000,96.87700,96.87700,-0.71000,-0.71000,7.68420,63.19550,-120.71710,-120.71710,-99.89020,-99.89020,0.06630,0.57610,1.66430,54.07700,-7.84940,-7.89090,-6.62570,-7.84950,9.09130,-0.5651,-0.583
2023-06-30,68.86400,23.76300,45.10100,76.68200,67.92000,10.00000,134.60200,-89.50100,-31.39400,-120.89500,-120.89500,-120.89500,-120.89500,-88.64000,-89.50100,96.48200,96.48200,-1.25000,-1.25000,7.63010,65.49290,-129.96770,-129.96770,-175.55620,-175.55620,0.06220,0.65370,1.45640,61.79530,-12.96720,-13.03370,-10.92720,-12.96720,9.62570,-0.6059,-0.6236
2023-03-31,62.79700,21.33700,41.46000,48.47200,62.51000,,110.98200,-69.52200,20.37800,-49.14400,-49.14400,-49.14400,-49.14400,-67.44700,-69.52200,96.14450,96.14450,-0.51000,-0.51000,8.60870,66.02230,-110.70910,-110.70910,-78.25850,-78.25850,0.05370,0.55560,1.44870,62.12300,-4.90830,-4.94980,-4.20010,-4.90830,10.38970,-0.72070,-0.75600
2022-12-31,62.60000,20.92400,41.67600,66.94600,72.02400,,138.97000,-97.29400,35.52500,-61.76900,-61.76900,-61.76900,-61.76900,-95.72800,-97.29400,95.80700,95.80700,-0.65000,-0.65000,8.04000,66.57510,-155.42170,-155.42170,-98.67250,-98.67250,0.05130,0.66170,1.56640,57.45480,-5.90750,-5.95540,-5.06250,-5.90750,10.88910,-1.1436,-1.1899
2022-09-30,57.54000,20.04400,37.49600,99.52400,66.55500,,166.07900,-128.58300,-32.60700,-161.19000,-161.19000,-161.19000,-161.19000,-127.01200,-128.58300,95.90900,95.90900,-1.68000,-1.68000,7.77790,65.16510,-223.46720,-223.46720,-280.13560,-280.13560,0.04430,0.68810,1.99680,45.07200,-14.57590,-14.68700,-12.41340,-14.57590,11.52280,-1.3151,-1.3845
2022-06-30,48.17600,17.40700,30.76900,66.08400,63.40100,,129.48500,-98.71600,-39.21700,-137.93300,-137.93300,-137.93300,-137.93300,-97.53300,-98.71600,95.76800,95.76800,-1.44000,-1.44000,7.90900,63.86790,-204.90700,-204.90700,-286.31060,-286.31060,0.03400,0.74580,1.76640,50.95010,-11.37910,-11.46380,-9.72200,-11.37910,12.64650,-0.4668,-0.5059
2022-03-31,46.72400,15.64300,31.08100,53.85400,56.99100,,110.84500,-79.76400,-2.40900,-82.17300,-82.17300,-82.39400,-82.39400,-78.45900,-79.76400,95.54990,95.54990,-0.86000,-0.86000,8.99380,66.52040,-170.71310,-170.71310,-175.86890,-176.34190,0.03110,0.77100,1.39920,64.32370,-6.29920,-6.34540,-5.48960,-6.29920,13.67290,-0.91180,-1.01360
2021-12-31,44.17100,21.70400,22.46700,172.08600,69.57700,,241.66310,-219.19610,7.88000,-211.31600,-211.31600,-211.82500,-211.82500,-217.60810,-219.19600,92.99200,92.99200,-2.17000,-2.17000,7.78060,50.86370,-496.24420,-496.24410,-478.40430,-479.55680,0.02740,1.14530,0.93040,96.73000,-15.35010,-15.45830,-13.15720,-15.35010,14.45010,-1.7368,-1.8081
2021-09-30,43.10300,12.16200,30.94100,55.14400,59.00200,,114.14600,-83.20500,-12.86700,-96.07200,-96.07200,-96.41200,-96.41200,-81.64600,-83.20500,95.03540,95.03540,-1.01000,-1.01000,14.45480,71.78390,-193.03760,-193.03760,-222.88940,-223.67820,0.02490,0.97340,2.05080,43.88600,-6.07160,-6.10780,-5.57910,-6.07160,16.66700,-1.64,-1.7047
2021-06-30,36.93500,10.86800,26.06700,142.22400,54.41400,,196.63800,-170.57100,7.65000,-162.92100,-162.92100,-163.32400,-163.32400,-169.12200,-170.57100,93.04600,93.04600,-1.76000,-1.76000,9.32670,70.57530,-461.81400,-461.81400,-441.10190,-442.19300,0.01950,0.97790,2.04860,43.93150,-9.76990,-9.82630,-8.61770,-9.76990,17.64180,-0.6114,-0.6531
2021-03-31,20.10300,7.50500,12.59800,203.85200,35.83800,,239.69000,-227.09200,-6.01300,-233.10500,-233.10500,-232.91000,-232.91000,-225.72200,-227.09200,88.37500,88.37500,-2.64000,-2.64000,11.32340,62.66730,-1129.64200,-1129.64200,-1159.55300,-1158.58300,0.01780,0.59430,2.28050,39.46430,-23.06790,-23.28400,-20.58800,-23.06790,11.40630,-1.91800,-1.93700
2020-12-31,15.09400,6.82200,8.27200,62.56200,40.96600,,103.52800,-95.25600,19.15700,-76.09900,-76.09900,-76.54700,-76.54700,-93.94700,-95.25600,77.66800,77.66800,-0.88000,-0.88000,12.40310,54.80320,-631.08510,-631.08500,-504.16730,-507.13530,0.01160,0.51900,2.92240,30.79700,-6.54610,-6.59940,-5.89890,-6.54610,13.31660,-0.5055,-0.5718
2020-09-30,14.65100,4.93400,9.71700,58.10000,27.87400,,85.97400,-76.25700,12.78100,-63.47600,-63.47600,-63.74100,-63.74100,-75.18900,-76.25700,75.43700,75.43700,-0.84000,-0.84000,,66.32310,-520.49010,-520.49010,-433.25370,-435.06250,,,,,,,,,,-1.7302,-1.78
2020-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2020-03-31,8.21800,2.08400,6.13400,33.74200,18.71400,,52.45600,-46.32200,-1.52900,-47.85100,-47.85100,-47.98800,-47.98800,-45.33000,-46.32200,72.95700,72.95700,-0.66000,-0.66000,,74.64100,-563.66500,-563.66500,-582.27060,-583.93760,,,,,,,,,,-0.54610,-0.56040
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
